# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
1, 1, 1511889336189, 548.812, 636.407, 2.03238
2, 1, 1511889336295, 958.205, 604.786, 3.42868
3, 1, 1511889336425, 1161.68, 620.075, 4.33512
4, 1, 1511889336552, 1236.4, 618.795, 3.60059
5, 1, 1511889336690, 1264.51, 737.713, 9.66615
6, 1, 1511889336795, 1273.03, 773.732, 13.9446
7, 1, 1511889336891, 1276.3, 787.59, 19.9103
8, 1, 1511889336956, 1277.54, 792.805, 23.288
9, 1, 1511889336990, 1278.04, 794.958, 22.5085
10, 1, 1511889337057, 1278.42, 796.564, 18.4414
11, 1, 1511889337120, 1278.66, 797.544, 16.4643
12, 1, 1511889337193, 1278.8, 798.174, 22.1677
13, 1, 1511889337245, 1278.88, 798.49, 22.9365
14, 1, 1511889337555, 1278.98, 798.936, 10.0024
15, 1, 1511889337661, 1278.99, 798.976, 17.3783
16, 1, 1511889337693, 1279, 798.986, 15.6252
17, 1, 1511889337759, 1279, 798.992, 23.4636
18, 1, 1511889337918, 1279, 798.997, 21.7364
19, 1, 1511889337950, 1279, 798.998, 24.747
20, 1, 1511889338060, 1279, 798.999, 22.9225
21, 1, 1511889338092, 1279, 799, 17.6901
22, 1, 1511889338197, 1279, 799, 12.0013
23, 1, 1511889338262, 1279, 799, 6.70746
24, 1, 1511889338358, 1279, 799, 5.70423
25, 1, 1511889338390, 1279, 799, 4.69652
26, 1, 1511889338496, 1235.59, 729.463, 3.54828
27, 1, 1511889338592, 1251.05, 649.213, 1.21659
28, 1, 1511889338658, 1180.13, 583.597, 1.00037
29, 1, 1511889338764, 1017.82, 556.858, 0.780159
30, 1, 1511889338858, 884.488, 565.637, 0.541373
31, 1, 1511889338957, 690.749, 581.743, 0.531308
32, 1, 1511889339020, 658.336, 585.276, 0.548062
33, 1, 1511889339042, 632.809, 586.797, 0.55285
34, 1, 1511889339159, 646.089, 584.768, 0.551591
35, 1, 1511889339201, 671.128, 583.408, 0.551182
36, 1, 1511889339343, 590.495, 597.595, 0.455501
37, 1, 1511889339408, 529.822, 601.104, 0.426035
38, 1, 1511889339441, 527.527, 603.603, 0.442158
39, 1, 1511889339557, 555.919, 601.563, 0.527341
40, 1, 1511889339651, 518.662, 599.061, 0.486045
