# expressionID, sessionQuesID, expTimestamp, gender, glasses, age, ethnicity, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement, smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch
1, 1, 1511889336227, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0
2, 1, 1511889336347, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0
3, 1, 1511889336449, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 1, 0, 0, 0, 0
4, 1, 1511889336558, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 38, 0, 1, 0, 0, 0, 0
5, 1, 1511889336695, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 36, 0, 1, 0, 0, 2, 0
6, 1, 1511889336802, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -3, 4, 0, 9, 4, 0, 0, 0, 0, 0, 0, 1, 49, 2, 0, 0, 36, 0, 2, 1, 0, 6, 0
7, 1, 1511889336899, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0
8, 1, 1511889337010, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0
9, 1, 1511889337090, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
10, 1, 1511889337196, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
11, 1, 1511889337266, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
12, 1, 1511889337349, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0
13, 1, 1511889337427, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0
14, 1, 1511889337529, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0
15, 1, 1511889337617, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0
16, 1, 1511889337713, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0
17, 1, 1511889337797, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0
18, 1, 1511889337929, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
19, 1, 1511889338002, Unknown, No, Unknown, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0
20, 1, 1511889338108, Female, No, 18 - 24, East Asian, 0, 0, 0, 95, 0, 19, 48, -6, 97, 0, 43, 55, 0, 0, 0, 4, 0, 0, 0, 94, 55, 87, 0, 37, 0, 8, 6, 100, 66, 0
21, 1, 1511889338227, Female, No, 18 - 24, East Asian, 0, 0, 0, 96, 0, 22, 29, 0, 94, 0, 36, 45, 0, 0, 0, 5, 0, 0, 0, 94, 51, 90, 0, 37, 0, 8, 8, 100, 81, 0
22, 1, 1511889338318, Female, No, 18 - 24, East Asian, 0, 0, 0, 94, 0, 20, 15, 0, 87, 0, 18, 37, 0, 0, 0, 4, 0, 0, 0, 91, 46, 85, 0, 54, 0, 9, 10, 99, 85, 0
23, 1, 1511889338399, Female, No, 18 - 24, East Asian, 0, 0, 0, 89, 0, 16, 14, 0, 91, 0, 11, 41, 0, 0, 0, 3, 0, 0, 0, 91, 40, 79, 0, 65, 0, 8, 8, 98, 75, 0
24, 1, 1511889338515, Female, No, 18 - 24, East Asian, 0, 0, 0, 78, 0, 17, 8, 0, 80, 0, 9, 35, 0, 0, 0, 3, 1, 0, 0, 84, 31, 71, 0, 74, 0, 6, 8, 97, 73, 0
25, 1, 1511889338614, Female, No, 18 - 24, East Asian, 0, 0, 0, 22, 0, 2, 2, 0, 4, 0, 2, 21, 0, 0, 0, 2, 0, 0, 0, 35, 23, 47, 0, 76, 0, 6, 3, 67, 39, 0
26, 1, 1511889338731, Female, No, 18 - 24, East Asian, 0, 0, 0, 5, 0, 0, 1, 2, 1, 0, 1, 9, 0, 0, 0, 1, 0, 0, 0, 9, 18, 30, 0, 84, 0, 4, 1, 26, 30, 0
27, 1, 1511889338808, Female, No, 18 - 24, East Asian, 0, 0, 1, 1, 0, 0, 0, 12, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 2, 15, 13, 0, 89, 0, 2, 0, 4, 46, 0
28, 1, 1511889338898, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 23, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 16, 7, 0, 94, 0, 2, 0, 1, 73, 0
29, 1, 1511889338994, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 12, 3, 0, 96, 1, 1, 0, 0, 89, 0
30, 1, 1511889339085, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 32, 1, 0, 0, 0, 2, 3, 0, 0, 3, 0, 1, 0, 12, 1, 0, 98, 2, 1, 0, 0, 97, 0
31, 1, 1511889339214, Female, No, 18 - 24, East Asian, 0, 0, 3, 0, 0, 0, 0, 25, 15, 1, 0, 0, 3, 5, 0, 0, 24, 1, 3, 0, 14, 0, 0, 98, 3, 1, 0, 0, 100, 0
32, 1, 1511889339300, Female, No, 18 - 24, East Asian, 0, 0, 6, 0, 0, 0, 0, 25, 66, 9, 0, 0, 2, 15, 0, 0, 35, 3, 3, 0, 11, 0, 0, 98, 4, 1, 0, 0, 100, 0
33, 1, 1511889339398, Female, No, 18 - 24, East Asian, 0, 0, 8, 0, 0, 0, 0, 36, 98, 25, 0, 0, 2, 22, 0, 0, 39, 8, 6, 0, 8, 0, 0, 98, 8, 0, 0, 0, 100, 0
34, 1, 1511889339500, Female, No, 18 - 24, East Asian, 0, 0, 5, 0, 0, 0, 0, 44, 100, 31, 0, 0, 5, 17, 0, 0, 36, 16, 9, 0, 6, 0, 0, 98, 11, 0, 0, 0, 100, 0
35, 1, 1511889339597, Female, No, 18 - 24, East Asian, 15, 0, 1, 0, 0, 0, 0, 71, 100, 63, 0, 0, 18, 16, 0, 0, 18, 31, 29, 0, 6, 0, 0, 98, 22, 0, 0, 0, 100, 0
36, 1, 1511889339699, Female, No, 18 - 24, East Asian, 8, 0, 1, 0, 0, 0, 0, 72, 100, 59, 0, 0, 19, 13, 0, 0, 6, 41, 38, 0, 4, 0, 0, 98, 28, 0, 0, 0, 100, 0
37, 1, 1511889339779, Female, No, 18 - 24, East Asian, 17, 0, 0, 0, 0, 0, 0, 69, 100, 64, 0, 0, 18, 10, 0, 0, 6, 29, 56, 0, 3, 0, 0, 98, 28, 0, 0, 0, 100, 1
38, 1, 1511889339882, Female, No, 18 - 24, East Asian, 11, 0, 0, 0, 0, 0, 0, 61, 100, 66, 0, 0, 30, 10, 0, 0, 7, 16, 69, 0, 2, 0, 0, 99, 40, 0, 0, 0, 100, 1
39, 1, 1511889339966, Female, No, 18 - 24, East Asian, 62, 0, 0, 0, 0, 0, 0, 61, 100, 80, 0, 0, 25, 9, 0, 0, 5, 7, 76, 1, 1, 0, 0, 99, 36, 0, 0, 0, 100, 1
